Date,Stock Value (INR)
2019-01-02,3977.86
2019-02-01,3974.18
2019-03-01,4407.02
2019-04-01,4682.20
2019-05-01,4587.35
2019-06-03,4893.25
2019-07-01,4899.92
2019-08-01,4443.66
2019-09-03,4851.38
2019-10-01,5294.27
2019-11-01,5235.89
2019-12-02,5210.43
2020-01-02,6017.03
2020-02-03,6278.95
2020-03-02,4999.54
2020-04-01,4512.47
2020-05-01,5307.99
2020-06-01,5238.96
2020-07-01,5901.20
2020-08-03,7323.02
