Date,Stock Value (INR)
02-01-2019,106096.98
01-02-2019,114150.35
01-03-2019,116354.86
01-04-2019,125281.08
01-05-2019,130154.88
03-06-2019,113605.87
01-07-2019,128790.56
01-08-2019,125248.09
03-09-2019,128427.25
01-10-2019,121263.79
01-11-2019,125619.91
02-12-2019,123049.23
02-01-2020,132383.87
03-02-2020,144071.96
02-03-2020,140496.92
01-04-2020,147721.04
01-05-2020,170899.81
01-06-2020,181762.47
01-07-2020,213112.96
03-08-2020,227540.26
